height,weight
167.08961,51.2525
181.64863,61.9096
176.27280,69.4118
173.2702,64.5623
172.18104,65.4521
174.49251,55.9290
177.29718,64.1809
177.83739,61.8983
172.47273,50.9712
169.62719,54.7337
168.87873,57.8111
171.76326,51.774
173.48830,56.9761
170.47606,55.5477
173.43036,52.6560
180.5727,63.5018
168.811,58.7413
174.36915,64.8516
180.92504,62.5515
170.51320,56.2658
172.29783,64.0838
174.95218,65.1083
161.24212,44.40756
173.79155,58.7414
171.77522,64.3421
170.70995,58.8420
179.93957,64.6022
171.43562,59.6702
168.99639,49.1388
166.22009,51.6606
176.5892,46.8568
167.1655,54.7729
172.2534,57.0567
179.31143,61.7895
182.38429,63.5490
175.78357,58.3994
169.68135,64.3191
171.85368,54.9899
172.22981,59.5784
162.67519,48.4035
174.17956,56.4087
165.56627,56.6351
176.93168,63.3537
172.63697,62.3098
167.59144,48.2849
174.42812,58.4063
169.87744,66.0810
171.95465,52.988
177.34577,65.1456
175.48395,61.2044
177.58357,66.6880
171.02282,57.3016
178.48425,56.9185
175.52274,52.4844
166.07424,56.0138
178.26855,67.0830
178.83167,70.7145
169.02115,58.0935
168.56502,54.1454
171.544,60.6974
168.92062,58.3921
175.25893,62.3895
173.49102,58.8583
170.21188,58.434
179.84704,61.3785
173.27756,49.7188
175.41022,64.6226
172.03682,60.214
170.72783,46.9593
171.11378,56.5765
165.78664,58.6557
179.94066,60.7893
177.60803,63.6830
163.28410,46.6452
173.3428,58.2963
168.54698,54.5668
173.64139,62.8695
166.3113,60.3085
177.08745,52.4458
172.02287,55.576
174.34410,61.0651
169.63149,55.2923
177.93073,70.4777
168.34734,58.4870
175.77303,58.5594
175.60242,63.2640
171.10547,63.9067
178.03614,59.6889
178.2486,54.9406
173.29292,59.6532
173.04847,61.9371
178.41610,64.1786
181.57830,63.7798
175.78012,50.8664
177.96017,60.535
179.21486,59.7835
168.36756,54.4440
161.10146,55.8360
169.58846,58.1248
174.97402,52.3790
164.78082,46.3085
170.41551,59.127
173.60293,60.8649
166.65125,44.74295
172.09900,51.9635
172.7738,56.0149
171.86130,55.814
168.4391,57.3691
176.37013,58.249
162.14405,57.6943
172.01584,55.3638
177.92949,57.8813
178.27249,59.7119
167.50254,50.7549
177.818,55.356
174.27268,58.3114
174.77275,60.1823
177.19578,61.7172
166.25669,52.5896
174.81636,62.0987
167.1328,54.3768
170.72544,49.4441
176.32733,58.1825
175.11766,61.3671
172.5714,48.4690
166.68765,55.9252
168.90002,49.6749
172.53735,54.1175
174.99114,63.6119
178.412,60.7742
173.39622,60.1376
180.92829,59.2840
175.50757,52.4188
163.56820,56.1521
180.58346,58.1246
173.27545,61.6725
167.42971,52.9013
